doc_idx,text,true_label
0,brain fluid buildup delay giffords rehab,0
1,trailer talk week movie rite mechanic week opportunity,1
2,rnc appoints chairman tampa convention effort visit tampa republican nati tampa fl,2
3,gbagbo camp futile cut ivory coast economy,3
4,chinese president lost translation powerful leader meet expect tran,4
5,england fishing community current management system broken edf,5
6,protest reform start yemen hundred anti government protester gathered sanaa,6
7,stuxnet lead chernobyl russian,7
8,iphone share smartphones phone,8
9,uploaded youtube video nba final lakers celtic game memory highlig,9
10,feed epic sci fi car ad kia optimum super bowl commercial video trendhunter supe,10
11,naughty facebook started sharing personal detail site day turn fb,11
12,super bowl commercial,10
13,bruce will fave kardashian lol,12
14,attack journalist escalate egypt,13
15,keith olbermann join current tv report,14
16,opinion christina sounded amazing super bowl america making big deal,15
17,sundance day strange celebrity encounter steve carell elijah wood full day sundanc,16
18,acai berry supplement weight loss associated content heard oprah win,17
19,finished watching black swan twisted mental strain take embrace role natalie portman incredible,18
20,hot air breaking rahm ballot tcot lt state totally corrupt,19
21,charlie sheen abuse,20
22,music featured motorola xoom super bowl commercial,10
23,rite movie review fan movie deal battle good evil,1
24,potential replacement steve job,21
25,yemen president signal won stay freedomwar egypt jan syria feb,6
26,debt settlement lawyer debt settlement easier lawyer day debt settlement beco,22
27,aguilera repeat national anthem ap ap christina aguilera flubbed belted,15
28,skipped romanian crew journalist threatened attacked detained reporting egypt,13
29,loss weight acai berry capsule benefit,17
30,pew internet online american social networking twitter politics campaign internet,23
31,tbf flw outdooors introduce national high school fishing program national high school fishing program,5
32,fucking awesome jesse jesse ventura slam tsa lawsuit,24
33,king speech awarded best ensemble cast screen actor guild award,25
34,charge fee saltwater fishing license,5
35,bottega veneta teal turquoise knot intrecciato snakeskin clutch,26
36,baked slow cooker chicken crockpotrecipes,27
37,fake snow storm white stripe officially call quits,28
38,chrysler air super bowl commercial,10
39,kid set college time fill fafsa,29
40,funny happened aguilera repeat national anthem yahoo news,15
41,hollywood director honor king speech reuters,25
42,kung pao chicken recipe,27
