doc_idx,text,true_label
0,Ask Crystal if she wants to go to Hawaii with me from the 18th until the 23rd.,0
1,Fast forward to the chorus.,1
2,I want to send Anthony Ford a video message.,0
3,Show me the friends that mini and I are both friends with,2
4,Message Ashlee and ask her what time the basketball game starts tonight.,0
5,I like shopping,3
6,Disregard all alerts about the Debate club meeting on Wednesday.,4
7,How's the weather this morning?,5
8,Latest news in Washington.,6
9,How are things in Guam,6
10,Find me an easy recipe for fish tacos,7
11,List new events in Michigan this year,3
12,Remind me to email the HOA about the fencing company coming to do an estimate next Tuesday at 10 AM.,4
13,Let Marta know that I'm going to the nurse's meeting at 8,0
14,read details about jeff lords firing,6
15,send a Messenger message,0
16,Play 1980s top hits,1
17,play the top 10 songs on google play,1
18,show me my past events,3
19,what are the number of calories in burgers,7
20,I want to know who works for Sonic,2
21,I want you to please show the friends on the screen,2
22,create an alarm to go off at midnight,8
23,Delete my reminders for today.,4
24,Tell me if anyone is online,9
25,Jaymes worked at Mack before?,2
26,Tell me when the second event starts,3
27,play the album Keeps Gettin' Better: A Decade of Hits on iheartradio,1
28,What the percentage of rain for Wednesday night?,5
29,play The Studio Albums 1990-2011 by Aerosmith,1
30,Did any of my friends go to Technical School?,2
31,how do you make chocolate ganache,7
32,"remind me to black out the week of August 27th,  i will be out of town.",4
33,Remind me of my flight time at 11:45 AM Tuesday,4
34,what is the temp in ankara turkey,5
35,Create a new sound list,1
36,what's the extended forecast for this area?,5
37,Any recent news about the White House?,6
38,Which of my friends live in Mexico?,2
39,I'd like  peanut butter based dessert-please find a recipe,7
40,Display all reminders pertaining to Betty Ann's recent accident.,4
41,please wake me up at 6am,8
42,remind me to pay the water and light bill on friday by 2,4
43,Who else graduated from Lehman?,2
44,When is the timer ending?,10
45,How cold does it get in Detroit ?,5
46,i want to make a phone call to my mom,9
47,Make a call to my dad,9
48,Please play me some dancing music,1
49,When is the Election Day,6
50,DId anyone text me via Facebook,0
51,what temperature do i cook chicken,7
52,I want to listen to Journey's last album.,1
53,does Janice work in Pembroke Pines?,2
54,how many calories in each portion,7
55,What is the water to flour ratio,7
56,update the reminder to pick up mom from 6:13 am to 9:48 am,4
57,Alert my alarm at 12pm,8
58,Live sports in DC next week,3
59,How can I make potato chips in an air fryer,7
60,play Jay park,1
61,Can you play soft jazz please,1
62,Change my work alarm to 7am,8
63,call the second one,9
64,music from the 60s,1
65,Has funko group sent me anything,0
66,check if any of my friends  working at Google,2
67,Start alarm now,8
68,Who do I know that stays in San Diego?,2
69,best recipe for scramble eggs,7
70,mark me as interested for Katja Petrowskaja: A Family Story Between Memory and Forgetting,3
71,Show me all reminders due today,4
72,Who works in Jakarta?,2
73,What temperature is it in San Diego right now,5
74,Get me all the reminders for this week's dates with Zach.,4
75,Message Joe to say I will be there in an hour,0
76,will it be snowing in October in New York,5
77,Remind John our dinner date is at 3:30pm,4
78,Is Andrew still working part time?,2
79,Wake me up on Tuesdays at 5am and 3pm,8
80,What was yesterday's low temperature,5
81,What happened in yesterday's news?,6
82,Who do I know that went to SCSU?,2
83,show me Ricardo's brother,2
84,go ahead and call Francisco Mineau,9
85,Give me the forecast for 7am Christmas morning,5
86,do i need sunscreen for my hike in Bend today,5
87,Label me as unavailable,9
88,set up an alarm,8
89,"Want is there to do in Boston, MA tomorrow",3
90,Are there any fog warnings for my commute today,5
91,Make a call to my Anime group on Whatsapp,9
92,play The Fray on iheartradio,1
93,Change the genre to pop,1
94,Who does Brian work for?,2
95,What's going on in Atlanta on Friday,3
96,Who graduated from PUC?,2
97,Skip to Korean music,1
98,Remind me to start getting ready for the meeting at 3 pm today,4
99,begin timer,10
100,Tell me the news right now,6
101,sound alarm at 02h25,8
102,How many of my friends live in San Francisco?,2
103,is there any much shifting in the weather today,5
104,Call Isaiah Prince Davenport for me,9
105,What is bulletproof coffee,7
106,What music events are happening tomorrow in Syracuse,3
107,timer status,10
108,set walking timer for 45 minutes,10
109,can you switch call?,9
110,How much time do I have left on the timer for my boiled eggs,10
111,please start a call with gregory,9
112,call Baird Brandon now,9
113,Erase the reminder for George to feed the chickens tomorrow at 5 AM.,4
114,interested in going to Katja Petrowskaja: A Family Story Between Memory and Forgetting,3
115,List Sulek Mina mum upcoming birthdays,2
116,add twelve minutes to my Inhaler timer,10
117,please play some Golden Age,1
118,I want to listen to Michael Jackson's greatest hits.,1
119,Add Amy Sister to this call,9
120,please read me all the headlines on the news right now?,6
121,What is the forecast for Friday?,5
122,Please read the latest news stories to me,6
123,What are the CNN headlines?,6
124,How hot is it this weekend outside in degrees fahrenheit,5
125,Play the classical station on Pandora,1
126,i want to call 9675550071,9
127,Let Mary know that Madonna's concert will be in El Paso in September,0
128,"Alarms now, if you please",8
129,Send message to Zack that he comes to work tomorrow at 10 instead of 2.,0
130,Please give me a vegan recipe,7
131,Is it going to be below 40 in degree C around Karachi tomorrow morning,5
132,2am alarm please,8
133,Call my mom,9
134,Add my brothers to this call,9
135,make an alarm for 2235,8
136,Read me all the reminders about the cat and what alerts are set?,4
137,Remind me to pick up some chlorine for he pool tomorrow morning.,4
138,WhatsApp call to Janet,9
139,What does our State Department say about if it's safe to travel in Spain,6
140,read my Facebook texts,0
141,Tell me how to make gnocchi,7
142,i need you to ring my uncle please,9
143,call Vanessa 's granddaughter,9
144,talk to Amy via WhatsApp,9
145,what sporting events are in newport today,3
146,Make a call to mums,9
147,what ingredients are in BBQ Power Bowls,7
148,Please can you call my mom?,9
149,call Mariana whatsapp video,9
150,What can I do in New York tonight,3
151,Please remind me to buy milk tonight.,4
152,how much left on the first timer?,10
153,What was the headline yesterday,6
154,whats the latest political news,6
155,Weather New York,5
156,Donald Trump collusion stories please.,6
157,Ignore calls after 11pm,9
158,Remind me to call the vet at 7:30 am tomorrow,4
159,play Muse on iheartradio,1
160,what today's top headlines,6
161,call Aubrie 's friend,9
162,Play some Migos please.,1
163,show who is online now please,9
164,Give me a buzz at noon,8
165,What type of government does France have,6
166,set up a chore reminder,4
167,do i have any contacts who went to stanford university,2
168,do I have any reminders for lunch,4
169,Start a new timer now,10
170,Add mom to current call,9
171,Can you play Guns n Roses?,1
172,Anything fun happening this Monday,3
173,Please skip,1
174,What temperature is needed to make cupcakes,7
