doc_idx,text,true_label
0,is it safe to go to north korea,0
1,call an uber to take a group of 4 from this bar to the one on maple st,1
2,note any travel alerts for haiti,0
3,what do i have planned for 3/5,2
4,change to the females voice please,3
5,can you tell me your age,4
6,is there traffic expected,1
7,let me know the credit card application status,5
8,please help me set up a vacation request,6
9,how many weeks ago was my car in the shop,1
10,what is some trivia about frog,4
11,what is the lowest amount i can pay for my car bill,7
12,do i own you,4
13,do you know why my card got declined,5
14,when will my next paycheck be coming,6
15,i'd like to buy a lamp online,2
16,do i have enough in my wells fargo account to get some nike's,7
17,ai toss the dice,8
18,how many carry ons can i take on a flight with southwestern to tampa,0
19,do i need to get any shots before i travel to liberia,0
20,am i safe to go to africa,0
21,slow down your voice,3
22,what can i do to get rid of this event,2
23,what are people saying about chick-fil-a's chicken nuggets,9
24,please share my federal taxes total with me,6
25,tell me my chase credit card's apr,5
26,i apprecaite the help from you,4
27,are you from around here,4
28,do we know if my reservation for john at bardenay was accepted,9
29,what song is currently playing,2
30,what's life mean to you,4
31,can i get some new checks i'm out of mine,7
32,remove grocery shopping from todo list,2
33,show my position on the map,1
34,"right now, i need to know the meaning of life",4
35,list meetings on calendar for today,6
36,i'm looking for flights that depart on the 3rd and return on z from monday to friday,0
37,thanks for trying,4
38,i need to be reminded to do something,2
39,do i have a meeting with paul today,6
40,i wanna have an alarm,8
41,what is the information on this song,2
42,what is the day off request status if you could tell me,6
43,my bank needs to know about my traveling to georgia in europe,0
44,remove fencing from my calendar for may 7th,2
45,what are the best restaurants open tonight,9
46,what's your date of birth,4
47,"i heard i can transfer my 401k, but don't know how, do you",6
48,a hidden government facility,4
49,how many mexican pesos can i get for one us dollar,0
50,what did i want to remember,2
51,i need to know the name that you have for me,3
52,what gas goes in the vehicle,1
53,when will my citi card expire,5
54,can't find w-2,6
55,freeze my account for me,7
56,make a 10 minute timer,8
57,how is traffic nearest the ben franklin bridge philadelphia heading to the new jersey turnpike,1
58,"if i use applesauce instead of oil, will that mess it up",9
59,can you add this song to my country music playlist,2
60,how many dollars is 20 yen worth,0
61,what is the location that td bank has their routing number listed,7
62,should i go to a car maintenance,1
63,place an order for my entire shopping list,2
64,reserve table for 5 at red robin under the name sara at 3,9
65,set an alarm for me,8
66,what timezone would missouri be in,0
67,"skip this song, please",2
68,text mark hello,8
69,get me a flight from barcelona to paris from jet blue,0
70,will i be safe going to south america,0
71,how do i set up direct deposit,6
72,where is your home planet,4
73,when should i get my car's oil changed next,1
74,tell me something funny about the middle ages,4
75,i need a reminder to wash dishes,2
76,where do i go if i am seeking the routing number of dallas capital,7
77,is there a list of good credit cards i can choose from to apply for,5
78,i want to change your name to shelby,3
79,tell me today's date,8
80,"in x, help me book a car",0
81,can you adjust the speed of your voice,3
82,find out what song is currently on the speakers,2
83,i wanna book a place to stay in phoenix from the 5th to the 9th of march,0
84,for the holidays when is the next one we do here,6
85,please let my bank know that i will be visiting spain from june 12th to the 24th,0
86,don't forget to tell me to call my mother,2
87,give me my reminders,2
88,what does my cable bill look like,7
89,i need to know how many days off i have used so far,6
90,get a text to mark,8
91,i seem to have a purchase that i didn't make from olive garden on my account,7
92,what date do i get paid,6
93,skip to next track,2
94,what is the current exchange rate between mxn and eur,0
95,help me wake up with an alarm at 5:30am,8
96,show allison how to get to me,8
97,will someone please look at my check engine light that is on,1
98,are you real or a computer,4
99,what's my map location,1
100,can i use red onions instead of white,9
101,tell me where my gas tank is,1
102,how much do i have left in my checking account,7
103,i need guidance on changing my oil,1
104,tell me my water bill please,7
105,can you confirm the reservation at fleming's for jane,9
106,what's my checking account yielding in interest,7
107,do you know when our next day off is,6
108,do i need a visa to get to puerto rico,0
109,will you create a timer for me,8
110,list my todo list items,2
111,who employs you,4
112,please start whisper mode,3
113,what is the lowest amount i can pay for my insurance bill,7
114,would you call yourself a cat or dog person,4
115,what steps should be taken to jump start a car,1
116,check my wells fargo account to see if i have enough for these nike's,7
117,can i reach seattle with this amount of fuel,1
118,can you check and see why us bank put a hold on my account,7
119,how do i say bathroom in italian,0
120,what are the steps to change my insurance policy,6
121,i need to know the type of gas for this car,1
122,what kind of reviews does the olive garden have,9
123,when did i last make a purchase,7
124,are visas needed to travel to jamaica,0
125,i wanna find a hotel with good reviews in phoenix,0
126,play the next one,2
127,please text john,8
128,i need to track my order,2
129,clear my calendar for february 29th,2
130,i'd like to start calling you lover,3
131,turn whisper mode off,3
132,i'd like to speak in portuguese,3
133,"can you find a rental car for me that is available this monday through thursday , any make will do",0
134,reservations for two need to be made using michael's name for 7:00pm at olive garden,9
135,search steps for how to report a card lost,5
136,is it okay to use applesauce instead of oil,9
137,what's the pin number for my checking account,7
138,i need to add flour to my list for shopping if i haven't already,2
139,roll a fourteen sided dice exactly,8
140,whisper mode must be left,3
141,find out the next available date and time i can go to get my oil changed please,1
142,tell me all updates about my order's status,2
143,i need to call my mom,8
144,let me know when my credit card expire,5
145,i wanna get my w-2 form,6
146,i would like to put 100 dollars from the checking into the savings account now,7
147,tell me spaghetti bolognese's nutrition facts,9
148,what is my routing number to my checking account at bb&t bankj,7
149,can you verify my recent visa card transaction,7
150,"i cannot locate my phone, can you help me",8
151,i need a hotel in phoenix near chase field from january 4th to the 8th,0
152,how many mexican pesos is a us dollar worth,0
153,next track,2
154,"my favorite, beef tacos at the buffet",9
155,please help me figure out how to set up a meeting,6
156,i don't need the reservation anymore,9
157,can you order me some nacho chips,2
158,locate my cellphone in this room,8
159,repeat that,3
160,can you reserve a meeting space for 4:00 on thursday,6
161,how much can i use on my visa,5
162,i want to know how you are doing,4
163,show my location on the map,1
164,i lost my phone can you help me,8
165,what items did i want to remember,2
166,i need a hotel room that is big enough for eleven people from march 10th to the 15th in phoenix,0
167,is there a way to alter my insurance policy,6
168,how do you spell aaron,8
169,vaccines for my trip to cuba,0
170,z uses which type of plug,0
171,will i be charged a transaction fee on my discover card in cuba,5
172,it was a pleasure talking to you,4
173,how much money have a spent in the last week,7
174,what company made this ai,4
175,charge my internet bill to the corporate account,7
176,i'm out of my checks i need some new ones,7
177,i want to know the meaning of life,4
178,i would love to get a new credit card,5
179,will you remove the dinner with june on saturday the 4th at 7pm from my calendar,2
180,what is the bank's routing number,7
181,i want an alarm for 6 am,8
182,id like to change your name to max,3
183,change settings to sound like a female,3
184,does the state department say anything about traveling to haiti,0
185,where is the nearest k mart,1
186,i would like to check my rewards for my credit card,5
187,what's the plug type in honduras,0
188,please pay my sprint bill using my bank of america checking account,7
189,please put lawn mowing on my list of to dos,2
190,i'd like to set up direct deposit,6
191,what are my mastercard points good for,5
192,i want to start talking to you in swedish,3
193,will we have to make reservations for roca,9
194,please flip a coin for me ai,8
195,when is your birthday,4
196,is it possible to set a timer,8
197,roll a 9 sided dice,8
198,oil type and do it yourself oil change information please,1
199,transfer seventy dollars between national and citizens accounts,7
200,"can you cancel that, please",3
201,thanks for all your help,4
202,start the timer now,8
203,how often should my tires be changed,1
204,is there a certain kind of fuel needed,1
205,am i close to arriving at the post office,1
206,can you cancel that request,3
207,i wanna know the next holiday,6
208,is my routing number on my account page,7
209,you have yo go to school on calendar,2
210,where is the nearest marijuana dispensary to kentucky fried chicken,1
211,how long until my paycheck shows up,6
212,"indian cuisine suits me and i'd like a meal suggestion, please",9
213,i pay how much of taxes with my income,6
214,which company made you,4
215,add to my motivational playlist rap god,2
216,"i need some help with transferring my 401k, can you help",6
217,what is my car's gas mileage,1
218,tell jim i'm coming home soon,8
219,show me the reviews for the new jalapeno fries at taco bell,9
220,"what's the proper way to spell ""helicopter",8
221,i must rollover my 401k,6
222,don't call me anything besides bailey,3
223,is my todo list possible today,2
224,please alert my bank i'm traveling to europe between april 1st and 5th,0
225,maybe it is,3
226,just stop talking,3
227,get my paycheck to direct deposit,6
228,give me a fun fact about dolphin,4
229,you have what types or kinds of pets,4
230,what is the price of bluetooth speakers on amazon,2
231,today is the day i should pay my electric bill,7
232,what price is my credit card and my water bill at,7
233,how much moola is in my bank accounts,7
234,i am a bit panicked because my luggage seems to have gone missing,0
235,make the lights darker,2
