doc_idx,true_label,kmeans_k3_s0,kmeans_k3_s1,kmeans_k3_s2,kmeans_k6_s0,kmeans_k6_s1,kmeans_k6_s2,kmeans_k11_s0,kmeans_k11_s1,kmeans_k11_s2,kmeans_k22_s0,kmeans_k22_s1,kmeans_k22_s2,kmeans_k44_s0,kmeans_k44_s1,kmeans_k44_s2,gmm_k3_s0,gmm_k3_s1,gmm_k3_s2,gmm_k6_s0,gmm_k6_s1,gmm_k6_s2,gmm_k11_s0,gmm_k11_s1,gmm_k11_s2,gmm_k22_s0,gmm_k22_s1,gmm_k22_s2,gmm_k44_s0,gmm_k44_s1,gmm_k44_s2,spectral_k3_s0,spectral_k3_s1,spectral_k3_s2,spectral_k6_s0,spectral_k6_s1,spectral_k6_s2,spectral_k11_s0,spectral_k11_s1,spectral_k11_s2,spectral_k22_s0,spectral_k22_s1,spectral_k22_s2,spectral_k44_s0,spectral_k44_s1,spectral_k44_s2,ward_k3,ward_k6,ward_k11,ward_k22,ward_k44,leiden_k3_s0,leiden_k3_s1,leiden_k3_s2,leiden_k6_s0,leiden_k6_s1,leiden_k6_s2,leiden_k11_s0,leiden_k11_s1,leiden_k11_s2,leiden_k22_s0,leiden_k22_s1,leiden_k22_s2,leiden_k44_s0,leiden_k44_s1,leiden_k44_s2
0,0,1,0,0,3,4,0,4,10,3,0,15,0,43,34,38,2,2,0,2,2,0,2,6,0,10,16,0,27,16,0,0,0,0,2,0,2,4,8,1,21,16,3,11,43,20,2,4,9,16,30,0,0,0,1,1,1,0,0,8,9,8,8,16,14,20
1,1,1,2,2,4,5,2,3,4,6,6,7,5,6,7,22,1,2,2,4,3,2,5,4,5,5,4,4,39,27,36,0,0,0,3,2,5,0,3,0,7,2,8,20,1,22,2,4,6,13,23,0,1,0,2,4,4,5,5,5,2,1,1,1,0,30
2,0,1,0,0,3,4,5,4,6,8,12,21,14,12,21,14,2,2,0,2,2,0,2,6,0,19,11,12,19,11,12,0,0,0,2,0,2,4,8,1,11,18,16,23,31,5,2,4,5,8,13,0,0,0,1,1,1,0,0,8,12,12,11,19,21,22
3,2,1,0,0,3,4,0,4,5,0,21,8,12,21,8,12,2,2,0,2,2,0,9,2,8,13,2,16,24,2,33,0,0,0,2,0,2,8,4,9,1,12,14,25,33,23,2,4,9,19,35,0,0,0,1,1,1,4,4,4,11,11,15,30,29,31
4,0,1,0,0,3,4,5,4,6,8,0,15,0,43,14,38,2,2,0,2,2,0,2,6,0,10,16,0,27,16,0,0,0,0,2,0,2,4,8,1,21,16,3,11,43,20,2,4,5,9,15,0,0,0,1,1,1,0,0,8,9,8,8,16,14,20
5,3,1,2,0,1,2,0,4,5,0,13,19,3,19,37,3,1,1,0,1,3,4,7,9,3,9,9,3,28,22,31,0,0,0,2,0,2,5,2,7,3,1,3,1,38,3,2,4,9,16,30,0,1,0,2,4,1,5,5,5,10,9,1,35,36,40
6,4,0,1,1,0,0,1,8,0,9,10,16,18,25,29,41,0,0,1,0,0,1,0,10,6,11,15,11,11,15,43,0,0,0,0,4,1,10,10,10,16,20,0,30,11,32,2,4,6,13,22,1,0,1,0,0,0,10,10,2,14,14,14,17,17,17
7,5,1,2,0,1,2,4,7,2,7,3,5,8,33,39,25,1,1,0,5,1,3,3,1,2,16,1,2,16,32,2,1,1,1,1,5,4,2,5,4,6,4,7,26,2,2,3,6,11,21,42,2,1,0,3,3,3,2,2,3,4,2,2,4,4,2
8,6,1,2,0,1,2,4,6,3,4,8,2,19,8,33,19,1,1,0,1,3,4,1,5,7,1,5,8,1,5,8,0,0,0,5,1,0,6,9,2,5,7,11,13,8,14,2,4,7,14,27,0,1,0,4,2,2,6,6,6,3,3,3,5,5,0
9,6,1,2,0,1,2,4,4,5,0,13,19,3,42,13,34,1,1,0,5,1,3,3,1,2,16,1,2,16,32,2,1,1,1,1,5,4,2,5,4,6,4,7,26,2,2,2,4,7,14,27,2,1,0,3,3,3,2,2,3,4,2,2,4,4,2
10,7,1,2,0,1,2,4,9,7,5,7,20,4,17,20,37,0,0,1,3,5,5,4,3,4,3,3,5,3,24,5,2,2,2,4,3,3,3,0,6,2,8,2,22,10,9,3,5,10,20,38,1,2,2,5,5,5,7,7,7,5,4,4,3,2,1
